Airfoils,AoT_Cl0.5,Cd,Cl/Cd
NACA 63A010,4.1,0.01236,40.45307443
NACA 63012A,4,0.01244,40.19292605
NACA 63-015A,3.9,0.01364,36.6568915
NACA 63-210,2.4,0.01117,44.76275739
NACA 63-212,2.3,0.01127,44.36557232
NACA 63-215,2.3,0.01205,41.49377593
NACA 63(2)-215 MOD B,2,0.01325,37.73584906
NACA 63-412,0.7,0.01113,44.92362983
NACA 63-415,0.6,0.01236,40.45307443
NACA 64-008A ,4.3,0.01118,44.72271914
NASA-LANGLEY 64-012,4.1,0.01185,42.19409283
NACA 64-012A,4.1,0.01259,39.71405878
NACA 642-015,3.9,0.01294,38.63987635
NACA 642-015A,3.9,0.0141,35.46099291
NACA 64-108,3.4,0.01077,46.42525534
NACA 64-110,3.3,0.01101,45.41326067
NACA 64(1)-212,2.3,0.0116,43.10344828
NACA 64(1)-212 MOD A,1.2,0.01295,38.61003861
NACA 64(1)-212 MOD B,2.2,0.01177,42.4808836
NACA 64-215,2.2,0.01278,39.12363067
NACA 66-021,3.9,0.01682,29.72651605
NACA 63-206,2.6,0.01011,49.45598417
NACA 63-209,2.5,0.01083,46.16805171
NACA 63(2)-615,-1,0.01201,41.63197336
NACA 63(2)A-015,2.8,0.01259,39.71405878
NACA 63(3)-018,3.9,0.01454,34.38789546
NACA 63(3)-218,2.2,0.01341,37.28560776
NACA 63,0.7,0.01128,44.32624113
NACA 63(3)-618,-1.1,0.01349,37.06449222
NACA 63(4)-221,2.1,0.0144,34.72222222
NACA 63(4)-421,0.4,0.01394,35.86800574
NACA 63A210,2.4,0.01216,41.11842105
NACA 64(1)-112,3.2,0.01161,43.06632214
NACA 64-206,2.6,0.01003,49.85044865
NACA 64-208,2.5,0.01052,47.52851711
NACA 64-209,2.5,0.01105,45.24886878
NACA 64-210,2.4,0.01149,43.51610096
NACA 64(2)-215,2.2,0.01278,39.12363067
NACA 64(2)-415,0.6,0.01219,41.01722724
NACA 64(3)-218,2.2,0.01318,37.93626707
NACA 64(3)-418,0.5,0.01275,39.21568627
NACA 64(3)-618,-1.1,0.01361,36.73769287
NACA 64(4)-221,2.1,0.01462,34.1997264
NACA 64(4)-421,0.4,0.01397,35.79098067
NACA 64A-010 10.0%,4.1,0.0124,40.32258065
NACA 64A210,2.4,0.01188,42.08754209
NACA 64A410,0.8,0.0118,42.37288136
NACA 65(1)-212,2.3,0.01205,41.49377593
NACA 65(1)-212 a=0.6,2.7,0.01236,40.45307443
NACA 65(1)-412,0.7,0.01173,42.62574595
NACA 65-206,2.6,0.01026,48.73294347
NACA 65-209,2.5,0.01133,44.13062665
NACA 65-210,2.4,0.01148,43.55400697
NACA 65(2)-215,2.2,0.0125,40
NACA 65(2)-415,0.6,0.01215,41.15226337
NACA 65(2)-415 a=0.5,1.3,0.01299,38.49114704
NACA 65(3)-218,2.2,0.01405,35.58718861
NACA 65(3)-618,-1.1,0.01399,35.73981415
NACA 65-410,0.7,0.01136,44.01408451
NACA 65(4)-221,2.2,0.01489,33.57958361
NACA 65(4)-421,0.4,0.01432,34.91620112
NACA 65(4)-421 a=0.5,1.1,0.01541,32.44646334
NACA 66-018,3.9,0.01607,31.11387679
NACA 66(1)-212,2.3,0.01256,39.8089172
NACA 66-206,2.6,0.01059,47.21435316
NACA 66-209,2.5,0.01128,44.32624113
NACA 66-210,2.4,0.01184,42.22972973
